observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
325913246,Yes,325913305,No,Yes,,325913246_325913305,325913305_325913246
325913305,No,325913246,Yes,Yes,,325913305_325913246,325913246_325913305
325914964,Yes,325915002,No,Yes,,325914964_325915002,325915002_325914964
325915002,No,325914964,Yes,Yes,,325915002_325914964,325914964_325915002
325925911,Yes,325925966,No,Yes,,325925911_325925966,325925966_325925911
325925966,No,325925911,Yes,Yes,,325925966_325925911,325925911_325925966
325925985,Yes,325926043,No,Yes,,325925985_325926043,325926043_325925985
325926043,No,325925985,Yes,Yes,,325926043_325925985,325925985_325926043
325926136,Yes,325926192,No,Yes,,325926136_325926192,325926192_325926136
325926192,No,325926136,Yes,Yes,,325926192_325926136,325926136_325926192
325926223,Yes,325926290,No,Yes,,325926223_325926290,325926290_325926223
325926290,No,325926223,Yes,Yes,,325926290_325926223,325926223_325926290
326027548,Yes,326027673,Yes,Yes,,326027548_326027673,326027673_326027548
326027673,Yes,326027548,Yes,Yes,,326027673_326027548,326027548_326027673
326073955,Yes,326074437,No,Yes,,326073955_326074437,326074437_326073955
326115354,Yes,326115355,Yes,Yes,,326115354_326115355,326115355_326115354
326115355,Yes,326115354,Yes,Yes,,326115355_326115354,326115354_326115355
326141727,Yes,326141918,Yes,Yes,,326141727_326141918,326141918_326141727
326141918,Yes,326141727,Yes,Yes,,326141918_326141727,326141727_326141918
326213758,Yes,326213833,No,Yes,,326213758_326213833,326213833_326213758
326253193,Yes,326253225,No,Yes,,326253193_326253225,326253225_326253193
326253236,Yes,326253251,No,Yes,,326253236_326253251,326253251_326253236
326272423,Yes,326272459,No,Yes,,326272423_326272459,326272459_326272423
326272459,No,326272423,Yes,Yes,,326272459_326272423,326272423_326272459
326484723,Yes,326484777,No,Yes,,326484723_326484777,326484777_326484723
326484777,No,326484723,Yes,Yes,,326484777_326484723,326484723_326484777
326501583,Yes,326501514,No,Yes,,326501583_326501514,326501514_326501583
326512441,Yes,326512441,Yes,Yes,,326512441_326512441,326512441_326512441
