id,partner_ids,scientific_name,partner_scientific_name,url,partner_url
66925151,,Potamonautes barbarai,,https://www.inaturalist.org/observations/66925151,
66952681,,Gryllidae,,https://www.inaturalist.org/observations/66952681,
66969089,,Java caroliwaterhousei,,https://www.inaturalist.org/observations/66969089,
66969542,,Scarabaeidae,,https://www.inaturalist.org/observations/66969542,
66989918,,Fulica americana,,https://www.inaturalist.org/observations/66989918,
67032162,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67032162,
67032302,,Noctuidae,,https://www.inaturalist.org/observations/67032302,
67045306,,Gryllidae,,https://www.inaturalist.org/observations/67045306,
67045523,,Bradypodion damaranum,,https://www.inaturalist.org/observations/67045523,
67070111,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67070111,
67070166,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67070166,
67084160,,Spilostethus hospes,,https://www.inaturalist.org/observations/67084160,
67090531,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67090531,
67090884,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67090884,
67091040,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/67091040,
67117248,,Noctuidae,,https://www.inaturalist.org/observations/67117248,
67117576,,Gryllidae,,https://www.inaturalist.org/observations/67117576,
67119132,,Gryllidae,,https://www.inaturalist.org/observations/67119132,
67121409,,Gryllidae,,https://www.inaturalist.org/observations/67121409,
67121661,,Gryllidae,,https://www.inaturalist.org/observations/67121661,
67121775,,Gryllidae,,https://www.inaturalist.org/observations/67121775,
67121869,,Acanthacris ruficornis,,https://www.inaturalist.org/observations/67121869,
67267473,,Acanthis flammea flammea,,https://www.inaturalist.org/observations/67267473,
67351556,,Thomisus,,https://www.inaturalist.org/observations/67351556,
67549873,,Gibbonsia,,https://www.inaturalist.org/observations/67549873,
67872521,,Stercorarius longicaudus,,https://www.inaturalist.org/observations/67872521,
68417061,,Egybolis vaillantina,,https://www.inaturalist.org/observations/68417061,
68456389,,Gardenia volkensii,,https://www.inaturalist.org/observations/68456389,
68517558,,Mantodea,,https://www.inaturalist.org/observations/68517558,
68552032,,Syncerus caffer caffer,,https://www.inaturalist.org/observations/68552032,
68649678,,Arctiini,,https://www.inaturalist.org/observations/68649678,
69407175,,Lepidoptera,,https://www.inaturalist.org/observations/69407175,
69551988,,Hemidactylus mabouia,,https://www.inaturalist.org/observations/69551988,
69764840,,Thomisus,,https://www.inaturalist.org/observations/69764840,
69813224,,Thomisus,,https://www.inaturalist.org/observations/69813224,
69819023,,Anilius scytale,,https://www.inaturalist.org/observations/69819023,
70602651,,Zosterops virens capensis,,https://www.inaturalist.org/observations/70602651,
70605112,,Locris,,https://www.inaturalist.org/observations/70605112,
70667622,,Ceriagrion glabrum,,https://www.inaturalist.org/observations/70667622,
70979907,,Securigera varia,,https://www.inaturalist.org/observations/70979907,
70999137,,Kalmia latifolia,,https://www.inaturalist.org/observations/70999137,
71427317,,Laniarius ferrugineus ferrugineus,,https://www.inaturalist.org/observations/71427317,
71494520,,Junonia orithya madagascariensis,,https://www.inaturalist.org/observations/71494520,
71702555,,Ceriagrion glabrum,,https://www.inaturalist.org/observations/71702555,
72013016,,Erebidae,,https://www.inaturalist.org/observations/72013016,
72616585,,Telchinia serena,,https://www.inaturalist.org/observations/72616585,
72616592,,Anthene amarah amarah,,https://www.inaturalist.org/observations/72616592,
72616644,,Euproctis straminicolor,,https://www.inaturalist.org/observations/72616644,
73306299,,Bradypodion damaranum,,https://www.inaturalist.org/observations/73306299,
73492385,,Hopliini,,https://www.inaturalist.org/observations/73492385,
74664541,,Zerenopsis lepida,,https://www.inaturalist.org/observations/74664541,
74924427,,Synema,,https://www.inaturalist.org/observations/74924427,
77860188,,Anthophila,,https://www.inaturalist.org/observations/77860188,
88208630,,Efferia albibarbis,,https://www.inaturalist.org/observations/88208630,
89549463,,Nyssa sylvatica,,https://www.inaturalist.org/observations/89549463,
90581129,,Enallagma,,https://www.inaturalist.org/observations/90581129,
92394534,,Giraffa giraffa giraffa,,https://www.inaturalist.org/observations/92394534,
92928170,,Spermestes bicolor nigriceps,,https://www.inaturalist.org/observations/92928170,
94671271,,Erythemis simplicicollis,,https://www.inaturalist.org/observations/94671271,
94778694,,Boisea trivittata,,https://www.inaturalist.org/observations/94778694,
96732137,,Anolis equestris,,https://www.inaturalist.org/observations/96732137,
101447157,,Branta hutchinsii,,https://www.inaturalist.org/observations/101447157,
101592881,,Balaenoptera borealis,,https://www.inaturalist.org/observations/101592881,
101973909,,Actinopterygii,,https://www.inaturalist.org/observations/101973909,
102363341,,Ascotis reciprocaria,,https://www.inaturalist.org/observations/102363341,
103322849,,Mimus polyglottos,,https://www.inaturalist.org/observations/103322849,
103519418,,Causus rhombeatus,,https://www.inaturalist.org/observations/103519418,
103821408,,Massagris honesta,,https://www.inaturalist.org/observations/103821408,
104416197,,Tortricidae,,https://www.inaturalist.org/observations/104416197,
104560225,,Cleptria,,https://www.inaturalist.org/observations/104560225,
104581250,,Pandion haliaetus,,https://www.inaturalist.org/observations/104581250,
105417298,,Miotopus diversus,,https://www.inaturalist.org/observations/105417298,
105605357,,Badumna longinqua,,https://www.inaturalist.org/observations/105605357,
105723269,,Larus marinus,,https://www.inaturalist.org/observations/105723269,
105836264,,Evarcha,,https://www.inaturalist.org/observations/105836264,
106003833,,Vespula alascensis,,https://www.inaturalist.org/observations/106003833,
106004036,,Aedes melanimon,,https://www.inaturalist.org/observations/106004036,
108791040,,Agriocnemis pygmaea,,https://www.inaturalist.org/observations/108791040,
110022128,,Erigeron canadensis,,https://www.inaturalist.org/observations/110022128,
111963712,,Peromyscus,,https://www.inaturalist.org/observations/111963712,
112910966,,Oroperipatus,,https://www.inaturalist.org/observations/112910966,
115485556,,Melikaiella tumifica,,https://www.inaturalist.org/observations/115485556,
115739237,,Brachystegia spiciformis,,https://www.inaturalist.org/observations/115739237,
115740683,,Pheidole,,https://www.inaturalist.org/observations/115740683,
116633775,,Galeocerdo cuvier,,https://www.inaturalist.org/observations/116633775,
117538110,,Arigomphus pallidus,,https://www.inaturalist.org/observations/117538110,
117560812,,Megascapheus bottae,,https://www.inaturalist.org/observations/117560812,
118438686,,Masticophis lateralis lateralis,,https://www.inaturalist.org/observations/118438686,
121273501,,Dromogomphus spoliatus,,https://www.inaturalist.org/observations/121273501,
124060217,,Andrenosoma hesperium,,https://www.inaturalist.org/observations/124060217,
126996350,,Ceresini,,https://www.inaturalist.org/observations/126996350,
129519294,,Falco tinnunculus,,https://www.inaturalist.org/observations/129519294,
129630003,,Promachus rufipes,,https://www.inaturalist.org/observations/129630003,
130021702,,Asimina pygmaea,,https://www.inaturalist.org/observations/130021702,
130071766,,Sphex,,https://www.inaturalist.org/observations/130071766,
130884309,,Scolopendra multidens,,https://www.inaturalist.org/observations/130884309,
131106142,,Triorla interrupta,,https://www.inaturalist.org/observations/131106142,
131312412,,Lophaetus occipitalis,,https://www.inaturalist.org/observations/131312412,
132847360,,Oecophylla smaragdina,,https://www.inaturalist.org/observations/132847360,
134161862,,Nihonhimea,,https://www.inaturalist.org/observations/134161862,
135318354,,Zelus renardii,,https://www.inaturalist.org/observations/135318354,
135598039,,Larus marinus,,https://www.inaturalist.org/observations/135598039,
136164700,,Thomisus,,https://www.inaturalist.org/observations/136164700,
137500000,,Thomisus,,https://www.inaturalist.org/observations/137500000,
137503815,,Ommatius,,https://www.inaturalist.org/observations/137503815,
137889728,,Lepidoptera,,https://www.inaturalist.org/observations/137889728,
138402656,,Erebidae,,https://www.inaturalist.org/observations/138402656,
138765927,,Pseudocrenilabrinae,,https://www.inaturalist.org/observations/138765927,
138821874,,Carphophis amoenus,,https://www.inaturalist.org/observations/138821874,
139026177,,Fagus sylvatica,,https://www.inaturalist.org/observations/139026177,
140412552,,Carduelis carduelis,,https://www.inaturalist.org/observations/140412552,
141247926,,Gonimbrasia belina,,https://www.inaturalist.org/observations/141247926,
142489380,,Varanus niloticus,,https://www.inaturalist.org/observations/142489380,
143086529,,Panthera leo melanochaita,,https://www.inaturalist.org/observations/143086529,
143093982,,Polemaetus bellicosus,,https://www.inaturalist.org/observations/143093982,
143112939,,Serranochromis,,https://www.inaturalist.org/observations/143112939,
144541202,,Cypriniformes,,https://www.inaturalist.org/observations/144541202,
145447563,,Podilymbus podiceps,,https://www.inaturalist.org/observations/145447563,
146406672,,Crematogaster,,https://www.inaturalist.org/observations/146406672,
146658103,,Thamnophis proximus orarius,,https://www.inaturalist.org/observations/146658103,
146665015,,Opheodrys aestivus,,https://www.inaturalist.org/observations/146665015,
147819800,,Thalassarche bulleri bulleri,,https://www.inaturalist.org/observations/147819800,
152304222,,Thamnophis ordinoides,,https://www.inaturalist.org/observations/152304222,
153554072,,Mylothris agathina,,https://www.inaturalist.org/observations/153554072,
154580263,,Zonotrichia leucophrys,,https://www.inaturalist.org/observations/154580263,
156949328,,Tamala palustris,,https://www.inaturalist.org/observations/156949328,
157127806,,Muscoidea,,https://www.inaturalist.org/observations/157127806,
159832640,,Heliopetes laviana,,https://www.inaturalist.org/observations/159832640,
166877010,,Diadophis punctatus amabilis,,https://www.inaturalist.org/observations/166877010,
170534115,,Lithurgopsis apicalis,,https://www.inaturalist.org/observations/170534115,
170622827,,Larus marinus,,https://www.inaturalist.org/observations/170622827,
172564154,,Euodynerus pratensis,,https://www.inaturalist.org/observations/172564154,
173734314,,Globimetula mweroensis,,https://www.inaturalist.org/observations/173734314,
173861262,,Eratigena inermis,,https://www.inaturalist.org/observations/173861262,
175147687,,Sonchus arvensis,,https://www.inaturalist.org/observations/175147687,
175432591,,Lerodea eufala,,https://www.inaturalist.org/observations/175432591,
176455112,,Polypedates leucomystax,,https://www.inaturalist.org/observations/176455112,
